"id","country","geolocation","level","adm1","location","disastertype","continent"
65,"Bosnia & Herzegovina","44.198685, 17.912496",3,"federacija bosna i hercegovina","zenica","flood","Europe"
66,"Brazil","-22.573610, -43.312780",3,"rio de janeiro","xerem","flood","Americas"
67,"Brazil","-22.573610, -43.312780",3,"rio de janeiro","xerem","flood","Americas"
68,"Canada","49.701703, -123.158772",3,"british columbia","squamish","flood","Americas"
69,"Canada","50.116168, -122.959423",3,"british columbia","whistler","flood","Americas"
70,"Canada","48.550893, -58.625013",3,"newfoundland and labrador","kippens","flood","Americas"
71,"Canada","48.551338, -58.559134",3,"newfoundland and labrador","stephenville","flood","Americas"
72,"Canada","49.941726, -56.188740",3,"newfoundland and labrador","baie verte","flood","Americas"
73,"Canada","49.741310, -55.972467",3,"newfoundland and labrador","smith's harbour","flood","Americas"
74,"Canada","49.704644, -56.089171",3,"newfoundland and labrador","middle arm","flood","Americas"
75,"Canada","44.257164, -77.370388",3,"ontario","belleville","flood","Americas"
76,"Canada","44.474728, -77.310249",3,"ontario","tweed","flood","Americas"
77,"Chile","-26.261831, -69.456855",2,"atacama","chanaral","earthquake","Americas"
78,"Chile","-26.393001, -70.047526",3,"atacama","diego de almagro","earthquake","Americas"
79,"Chile","-34.670500, -71.181100",3,"libertador general bernardo o'higgins","puquillay","flood","Americas"
80,"Chile","-34.801200, -70.755200",3,"libertador general bernardo o'higgins","sierras de bellavista","flood","Americas"
81,"Chile","-34.395909, -72.018187",3,"libertador general bernardo o'higgins","san fernando-pichilemu","flood","Americas"
82,"Chile","-19.312999, -69.426538",3,"tarapaca","camina","earthquake","Americas"
83,"Chile","-20.280068, -70.099121",3,"tarapaca","alto hospicio","earthquake","Americas"
84,"Chile","-20.490401, -69.326237",3,"tarapaca","pica","earthquake","Americas"
85,"Chile","-20.257325, -69.784564",3,"tarapaca","pozo almonte","earthquake","Americas"
86,"Chile","-22.340087, -69.663757",3,"antofagasta","maria elena","earthquake","Americas"
87,"Chile","-37.029285, -73.144459",3,"bio-bio","coronel","flood","Americas"
88,"Chile","-36.723890, -73.127230",3,"bio-bio","san vincente lirquen","flood","Americas"
89,"Chile","-38.711220, -73.161010",3,"araucania","carahue","flood","Americas"
90,"Chile","-38.744510, -72.950250",3,"araucania","nueva imperial","flood","Americas"
91,"Chile","-38.733330, -73.450000",3,"araucania","puerto saavedra","flood","Americas"
92,"Ecuador","-0.293077, -78.402242",3,"pichincha","la merced","earthquake","Americas"
93,"Ecuador","0.001341, -78.446492",3,"pichincha","san antonio","earthquake","Americas"
94,"Ecuador","-0.631327, -80.423804",3,"manabi","bahia de caraquez","earthquake","Americas"
95,"Ecuador","-0.837416, -80.486099",3,"manabi","charapoto","earthquake","Americas"
96,"Ethiopia","5.084261, 45.132079",3,"somali","ferfer","flood","Africa"
97,"Ethiopia","7.253798, 43.772443",3,"somali","burukur","flood","Africa"
98,"Ethiopia","5.594045, 44.205882",3,"somali","kelafo","flood","Africa"
99,"Ethiopia","5.245593, 44.735137",3,"somali","mustahil","flood","Africa"
100,"Ethiopia","6.508796, 43.493526",3,"somali","denan","flood","Africa"
101,"Ethiopia","6.466348, 42.175386",3,"somali","east imi","flood","Africa"
102,"Ethiopia","5.084261, 45.132079",3,"somali","ferfer","flood","Africa"
103,"Ethiopia","6.549244, 42.997522",3,"somali","gode","flood","Africa"
104,"Ethiopia","5.594045, 44.205882",3,"somali","kelafo","flood","Africa"
105,"Ethiopia","5.245593, 44.735137",3,"somali","mustahil","flood","Africa"
106,"Ethiopia","6.466348, 42.175386",3,"somali","east imi","flood","Africa"
107,"Ethiopia","5.594045, 44.205882",3,"somali","kelafo","flood","Africa"
108,"Ethiopia","5.245593, 44.735137",3,"somali","mustahil","flood","Africa"
109,"France","50.105772, 1.834132",3,"hauts-de-france","abbeville","flood","Europe"
110,"France","49.894330, 2.295704",3,"hauts-de-france","amiens","flood","Europe"
111,"France","42.697640, 2.895410",3,"occitanie","perpignan region","flood","Europe"
112,"Greece","36.753028, 22.521089",3,"aegean","agios efstratios","earthquake","Europe"
113,"Greece","39.882377, 25.208014",3,"aegean","limnos","earthquake","Europe"
114,"Greece","39.101274, 26.549848",3,"aegean","kasos island","flood","Europe"
115,"Greece","36.452791, 28.221836",3,"aegean","rhodes island","flood","Europe"
116,"Greece","40.084520, 21.427440",3,"epirus and western macedonia","grevena-kozani","earthquake","Europe"
117,"Greece","40.300690, 21.788960",3,"epirus and western macedonia","kozani","earthquake","Europe"
118,"Greece","38.043228, 23.542123",3,"attica","elefsina","earthquake","Europe"
119,"Greece","38.012797, 23.691897",3,"attica","peristeri","earthquake","Europe"
120,"Greece","38.042427, 23.684194",3,"attica","petroupoli","earthquake","Europe"
121,"Greece","40.266950, 21.324460",3,"epirus and western macedonia","michalitsi","earthquake","Europe"
122,"Greece","40.266950, 21.324460",3,"epirus and western macedonia","mitikas","earthquake","Europe"
123,"Greece","38.153170, 23.962780",3,"attica","marathon","flood","Europe"
124,"Greece","38.303906, 23.754332",3,"attica","oropos","flood","Europe"
125,"Greece","36.547083, 26.351597",3,"aegean","astypalaia","storm","Europe"
126,"Greece","37.307164, 27.089979",3,"aegean","leros","storm","Europe"
127,"Haiti","18.200900, -73.889154",3,"sud","chantal","flood","Americas"
128,"Haiti","18.634743, -74.384842",3,"grand'anse","abricots","flood","Americas"
129,"Haiti","19.664491, -73.210148",3,"nord-ouest","baie de henne","flood","Americas"
130,"Haiti","18.476988, -73.957970",3,"grand'anse","beaumont","flood","Americas"
131,"Haiti","18.628736, -74.239412",3,"grand'anse","bonbon","flood","Americas"
132,"Haiti","19.853118, -72.840996",3,"nord-ouest","chansolme","flood","Americas"
133,"Haiti","19.850239, -73.189354",3,"nord-ouest","jean-rabel","flood","Americas"
134,"Haiti","18.560565, -74.255920",3,"grand'anse","moron","flood","Americas"
135,"Haiti","18.492983, -73.825139",3,"grand'anse","pestel","flood","Americas"
136,"Haiti","18.350283, -73.858118",3,"sud","camp perrin","flood","Americas"
137,"Haiti","18.344518, -73.776402",3,"sud","maniche","flood","Americas"
138,"Haiti","18.432448, -72.283773",3,"ouest","kenscoff","earthquake","Americas"
139,"Haiti","18.350283, -73.858118",3,"sud","camp-perrin","flood","Americas"
140,"Haiti","18.200900, -73.889154",3,"sud","chantal","flood","Americas"
141,"Haiti","18.344518, -73.776402",3,"sud","maniche","flood","Americas"
142,"Haiti","18.071502, -73.814217",3,"sud","saint-jean-du-sud","flood","Americas"
143,"Haiti","18.905104, -72.307256",3,"l'artibonite","la chapelle","storm","Americas"
144,"Haiti","18.309894, -74.216250",3,"sud","les anglais","storm","Americas"
145,"Haiti","18.325500, -74.395456",3,"sud","tiburon","storm","Americas"
146,"Haiti","19.050994, -72.464329",3,"l'artibonite","verettes","storm","Americas"
147,"Madagascar","-18.908484, 47.537513",3,"antananarivo","antananarivo","storm","Africa"
148,"Madagascar","-12.289318, 49.293052",3,"antsiranana","antalaha","storm","Africa"
149,"Madagascar","-19.163005, 45.369048",3,"toliary","miandrivazo","storm","Africa"
150,"Madagascar","-23.350000, 43.666670",3,"toliary","morondova","storm","Africa"
151,"Madagascar","-17.823719, 48.426265",3,"toamasina","ambatondrazaka","storm","Africa"
152,"Madagascar","-18.149200, 49.402340",3,"toamasina","fenerive east","storm","Africa"
153,"Madagascar","-18.149200, 49.402340",3,"toamasina","moramanga","storm","Africa"
154,"Madagascar","-19.050000, 46.866670",3,"fianarantsoa","manajary","storm","Africa"
155,"Madagascar","-21.446951, 47.087214",3,"fianarantsoa","nosy-varika","storm","Africa"
156,"Madagascar","-20.401924, 44.730232",3,"toliary","ampanihy","storm","Africa"
157,"Madagascar","-18.144900, 49.051470",3,"toamasina","anosibe","storm","Africa"
158,"Madagascar","-22.168707, 44.679169",3,"toliary","ankazoabo","storm","Africa"
159,"Madagascar","-19.163005, 45.369048",3,"toliary","miandrivazo","storm","Africa"
160,"Madagascar","-18.149200, 49.402340",3,"toamasina","moramanga","storm","Africa"
161,"Madagascar","-23.350000, 43.666670",3,"toliary","belo","storm","Africa"
162,"Madagascar","-18.773238, 46.050828",3,"antananarivo","tsiroanomandity","storm","Africa"
163,"Madagascar","-19.359829, 48.777996",3,"toamasina","vatomandry","storm","Africa"
164,"Madagascar","-19.050000, 46.866670",3,"fianarantsoa","mananjary","storm","Africa"
165,"Madagascar","-21.446951, 47.087214",3,"fianarantsoa","nosy varika","storm","Africa"
166,"Madagascar","-19.359829, 48.777996",3,"toamasina","vatomandry","storm","Africa"
167,"Madagascar","-21.446951, 47.087214",3,"fianarantsoa","befotaka","storm","Africa"
